City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,chibougamau,49.9168,-74.3659,65.82,72,100,3.62,CA,1690058559
117,novoazovs'k,47.1139,38.086,75.18,60,54,6.76,UA,1690058559
118,barcelos,41.5388,-8.6151,64.85,86,29,7.34,PT,1690058560
119,aasiaat,68.7098,-52.8699,38.89,98,100,8.05,GL,1690058560
120,kyshtovka,56.555,76.6271,58.37,90,100,6.13,RU,1690058560
121,colonia,50.9333,6.95,69.26,53,0,1.14,DE,1690058461
122,dryden,49.7833,-92.7503,73.69,68,0,2.3,CA,1690058552
123,nema,57.5067,50.5011,52.54,89,7,6.42,RU,1690058562
124,ma'rib,15.4591,45.3253,90.37,19,94,8.3,YE,1690058562
125,zintan,31.9223,12.252,86.25,15,0,10.92,LY,1690058563
126,broome,42.2506,-75.833,80.98,53,20,10.36,US,1690058563
127,happy valley-goose bay,53.3168,-60.3315,71.91,73,100,5.75,CA,1690058563
128,mount gambier,-37.8333,140.7667,46.38,82,94,4.59,AU,1690058564
129,cabedelo,-6.9811,-34.8339,79.47,82,32,17.47,BR,1690058564
130,bariadi,-2.8,33.9833,70.34,39,34,6.98,TZ,1690058565
131,kyzylorda,44.8528,65.5092,68.02,37,0,8.95,KZ,1690058481
132,grande prairie,55.1667,-118.8027,75.38,57,20,8.05,CA,1690058459
133,parry sound,45.3501,-80.033,75.25,46,7,9.57,CA,1690058491
134,edd,13.9297,41.6925,92.25,64,95,6.02,ER,1690058567
135,purpe,64.4803,76.6897,65.62,73,100,9.44,RU,1690058567
136,atafu village,-8.5421,-172.5159,83.21,70,12,7.76,TK,1690058568
137,bethel,41.3712,-73.414,83.64,52,20,8.05,US,1690058569
138,crane,31.3974,-102.3501,96.62,24,100,7.67,US,1690058569
139,nar'yan-mar,67.6713,53.087,50.97,95,100,13.94,RU,1690058570
140,vernon,50.2581,-119.2691,93.29,18,5,3.44,CA,1690058545
141,aras-asan,8.8908,126.3033,77.77,86,100,6.67,PH,1690058571
142,fort st. john,56.2499,-120.8529,76.89,38,20,9.22,CA,1690058494
143,hithadhoo,-0.6,73.0833,82.36,74,74,5.61,MV,1690058566
144,chardara,41.2547,67.9692,81.9,31,0,14.09,KZ,1690058482
145,alice springs,-23.7,133.8833,36.95,75,4,9.22,AU,1690058573
146,san antonio de pale,-1.4014,5.6325,73.65,78,75,12.41,GQ,1690058574
147,nikolayevsk-on-amure,53.1406,140.73,69.08,58,100,3.44,RU,1690058574
148,bafia,4.75,11.2333,70.23,97,67,2.64,CM,1690058575
149,prince rupert,54.3161,-130.3201,58.69,100,100,3.44,CA,1690058536
150,isla mujeres,21.2311,-86.731,89.65,70,19,11.77,MX,1690058575
151,chissamba,-12.1667,17.3333,70.97,29,80,3.38,AO,1690058576
152,geraldton,-28.7667,114.6,41.41,87,0,5.75,AU,1690058577
153,vikulovo,56.8167,70.6107,58.91,86,14,5.66,RU,1690058577
154,glendive,47.1053,-104.7125,91.76,23,0,3.44,US,1690058578
155,lata,40.1629,-8.3327,63.81,91,0,3.76,PT,1690058578
156,tralee,52.2704,-9.7026,59.18,96,100,9.26,IE,1690058579
157,invercargill,-46.4,168.35,44.44,96,100,5.73,NZ,1690058578
158,ierapetra,35.01,25.7353,89.15,45,0,6.91,GR,1690058579
159,saudarkrokur,65.7461,-19.6394,50.2,75,57,3.62,IS,1690058580
160,bubaque,11.2833,-15.8333,80.96,80,9,12.53,GW,1690058580
161,cooper's town,26.8667,-77.5167,86.74,74,56,12.15,BS,1690058581
162,ilanskiy,56.2358,96.065,60.1,90,13,1.68,RU,1690058581
163,villemur-sur-tarn,43.8671,1.5028,75.76,63,0,3.51,FR,1690058582
164,kristinestad,62.2743,21.376,56.1,85,100,1.77,FI,1690058582
165,bontang,0.1333,117.5,75.94,90,84,7.02,ID,1690058583
166,kikvidze,50.7416,43.0518,68.58,66,100,3.44,RU,1690058583
167,mananara,-16.1667,49.7667,68.11,93,48,4.99,MG,1690058584
168,esbjerg,55.4667,8.45,58.91,84,75,3.44,DK,1690058585
169,nabire,-3.3667,135.4833,74.98,95,100,3.96,ID,1690058585
170,kamenka,51.3223,42.7678,65.26,64,100,2.77,RU,1690058586
171,tommot,58.9564,126.2925,60.53,95,63,3.2,RU,1690058586
172,paita,-5.0892,-81.1144,75.42,72,11,16.24,PE,1690058587
173,vila velha,-20.3297,-40.2925,69.75,94,75,10.36,BR,1690058578
174,lib,8.3122,167.3766,82.78,80,99,17.58,MH,1690058588
175,simrishamn,55.5565,14.3504,57.34,73,98,14.41,SE,1690058481
176,bredasdorp,-34.5322,20.0403,51.96,90,100,7.09,ZA,1690058589
177,talakan,50.3167,130.3667,66.13,63,100,2.13,RU,1690058590
178,qaryat suluq,31.6682,20.2521,86.32,45,0,13.47,LY,1690058590
179,gurmatkal,16.8667,77.4,72.77,88,93,13.62,IN,1690058591
180,lihue,21.9789,-159.3672,81.64,83,100,14.97,US,1690058307
181,cidreira,-30.1811,-50.2056,64.26,88,41,11.65,BR,1690058592
182,saint-philippe,-21.3585,55.7679,71.19,87,84,17.49,RE,1690058592
183,ta`u,-14.2336,-169.5144,81.12,79,89,9.55,AS,1690058593
184,dul'durga,50.6761,113.5931,50.79,75,0,5.41,RU,1690058594
185,kingscliff,-28.2667,153.5667,53.4,71,13,5.75,AU,1690058594
186,akureyri,65.6835,-18.0878,49.93,81,75,10.36,IS,1690058595
187,fort bragg,35.139,-79.006,87.94,58,100,8.01,US,1690058595
